source_workbook,source_sheet,source_row_number,study number,full text link,authors,title,journal,year published,"years over which the data was actually collected, e.g. a study published in 2005 may have used data from 1993-1996.",country,centre (single or multi),study design,prospective or retrospective?,brief description of study objective,"data from dataset? e.g. mimic, icnarc, capnetz",population,age,number of participants,"groups if applicable (e.g. if case-control, cohort)",primary outcome,secondary outcomes,"any special groups? e.g. copd, sle, diabetes, sepsis etc.",icu mortality,28d mortality,30d mortality,60d mortality,90d mortality,hospital mortality,icu length of stay,hospital length of stay,survival to hospital discharge,mechnical ventilation (proportion requiring),niv (proportion requiring),ecmo (proportion requiring),rrt (proportion requiring),vasopressor / inotropic support (proportion requiring),septic shock (proportion with),respiratory failure (proportion with),ards (proportion with),"aetiology (mixed, bacterial, viral, fungal etc)",bacterial (proportion),viral (proportion),specific causative agent,secondary infection,sex,copd,smokers,diabetes,funding sources,comments,randomised?,blinded?,intervention group,control group,males,unnamed: 47,years over which the data was actually collected,6 months mortality,unnamed: 48,unnamed: 49,unnamed: 50,unnamed: 51,unnamed: 52,unnamed: 53,unnamed: 54,unnamed: 55,unnamed: 56,unnamed: 57,unnamed: 58,unnamed: 59,unnamed: 60,unnamed: 61,male,smoking,excluded,reason
1-40 m.xlsx,Observational,1,1.0,https://link.springer.com/article/10.1007/s00393-022-01172-x,Zhang B. and Zheng L. and Huang Y.,Severe pneumonia in patients with systemic lupus erythematosus admitted to the intensive care unit,Zeitschrift fur Rheumatologie,2024.0,2008-2020,China,Multi-centre,Cohort,Retrospective, investigate clinical characters and prognosis of patients with systemic lupus erythematosus (SLE) and severe pneumonia admitted to the intensive care unit (ICU).,,patients with SLE and sCAP ,42.3 ± 14.7 (Median ± SD),86,Single cohort (survival vs non-survival),"death within 30 days of ICU admission, death until December 2020","LOS ICU, MV, RRT, vasoactive drugs, inotropic drugs, ","SLE, diabetes, HTN, HF, chronic renal failure, antiphospholipid syndrome ",,,n=31/86,,,,17.9 ± 13.5 ( mean ± SD),,,"49, (57) n, (%)",,,"21, (24.4) n, (%)","vasoactive drugs 39, (45.3); inotropic drugs 16, (18.6) both n, (%)",sepsis 15 (17.4); shock 20 (23.2) both n (%),77 (89.5) n (%),,"Bacterial, fungal, viral","Gram positive (n, %) 18 (20.9); Gram negative (n, %) 16 (18.6)",2 (2.3) n (%),"Fungal (n, %) 9 (10.4); Pneumocystis jirovecii (n, %) 3 (3.4); Mycobacterium tuberculosis (n, %) 2 (2.3)",,"Male (n, %) 15/86 (17.4)",,,5 (5.8) n (%),"This study was supported by the grants from the National Science Foundation of Zhejiang (LQ17H030005), the Wenzhou Committee of Science and Technology (Y2020267), and 2019 Jiaxing Key Discipiline of Medcine-Rheumatology and Autoim_x0002_munology(Supporting Subject) (2019-zc-03).",,,,,,,,,,,,,,,,,,,,,,,,,,,
1-40 m.xlsx,Observational,2,2.0,https://libkey.io/libraries/2725/openurl?genre=article&sid=OVID:medline&id=pmid:25702844&id=doi:10.1016%2Fj.jcrc.2015.01.001&issn=0883-9441&isbn=&volume=30&issue=3&spage=506&pages=506-10&date=2015&title=Journal+of+Critical+Care&atitle=Decreased+serum+level+of+lipoprotein+cholesterol+is+a+poor+prognostic+factor+for+patients+with+severe+community-acquired+pneumonia+that+required+intensive+care+unit+admission.&aulast=Chien&pid=%3Cauthor%3EChien+YF%3BChen+CY%3BHsu+CL%3BChen+KY%3BYu+CJ%3C%2Fauthor%3E%3CAN%3E25702844%3C%2FAN%3E%3CDT%3EJournal+Article%3C%2FDT%3E,"Chien, Yu-Fen and Chen, Chung-Yu and Hsu, Chia-Lin and Chen, Kuan-Yu and Yu, Chong-Jen",Decreased serum level of lipoprotein cholesterol is a poor prognostic factor for patients with severe community-acquired pneumonia that required intensive care unit admission.,Journal of critical care,2015.0,2006-2009,Taiwan,Single-centre,Cohort,Prospective,investigate the prognostic values of the serum levels of lipids in patients with sCAP,,patients admitted to medical ICU due to sCAP,≥18 years: years mean +/- SD 75.1 ± 14.0,40,Single cohort (survival vs non-survival),ICU and hospital mortality,Association between serum lipid levels (HDL and LDL) and mortality; Change in HDL and LDL cholesterol levels between ICU day 1 and day 7,"Diabetes, HTN, CHF, COPD, prev. CVA, liver cirrhosis, CKD, malignancy ",n=10,,,,,n=5,,,,,,,,,n=13 (32.5%),,,Positive blood culture n=9 (22.5%); Gram-negative microorganism n=19 (47.5%); Gram-positive microorganism n=3 (7.5%); mixed 7 (17.5%); culture negative n=11 (27.5%),n=29,,Gram-negative microorganism n=19 (47.5%); Gram-positive microorganism n=3 (7.5%),,27/40 (67.5%),15/40 (37.5%) ,,14/40 (35.0%) ,Not documented ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-40 m.xlsx,Observational,3,3.0,https://libkey.io/libraries/2725/openurl?genre=article&sid=OVID:embase&id=pmid:19181604&id=doi:10.1016%2FS0929-6646%252809%252960028-0&issn=0929-6646&isbn=&volume=108&issue=1&spage=20&pages=20-27&date=2009&title=Journal+of+the+Formosan+Medical+Association&atitle=Plasma+transforming+growth+factor-beta1+level+in+patients+with+severe+community-acquired+pneumonia+and+association+with+disease+severity&aulast=Wu&pid=%3Cauthor%3EWu+H.-P.%3BChen+C.-K.%3BChung+K.%3BJiang+B.-Y.%3BYu+T.-J.%3BChuang+D.-Y.%3C%2Fauthor%3E%3CAN%3E354175029%3C%2FAN%3E%3CDT%3EArticle%3C%2FDT%3E,Wu H.-P. and Chen C.-K. and Chung K. and Jiang B.-Y. and Yu T.-J. and Chuang D.-Y.,Plasma transforming growth factor-beta1 level in patients with severe community-acquired pneumonia and association with disease severity,Journal of the Formosan Medical Association,2009.0,2003-2005,Taiwan,Single-centre,Cohort,Prospective,evaluate the prognostic predictive value of TGF-β1 in patients with severe CAP,,patients admitted to ED and soon transferred to ICU for sCAP,survivor group (n=49): 70.0 ± 2.0; non-survivor group (n=14): 69.1 ± 4.1,63,Single cohort (survival vs non-survival) ,28d mortality ,"Association of cytokine levels (IFN-γ, IL-6, IL-10, IL-12, TGF-β1) with mortality and disease severity (APACHE II score)","Chronic lung disease, chronic renal disease, diabetes, HF, prev. CVA, HTN",,n=14,,,,,,,,,,,,,n=26 (41.3%),,,Bacterial ,n=37 (58.7%),,"Klebsiella pneumoniae (n = 9, 14.3%) and Pseudomonas aeruginosa (n = 8, 12.7%).",,40/63 (63.5%),"reports ""chronic lung disease""",,20/63 (31.7%),Chang Gung Memorial Hospital under Contract #CMRPG240331.,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-40 m.xlsx,Observational,4,4.0,https://www.nature.com/articles/s41598-025-85951-x,Pan J. and Guo T. and Kong H. and Bu W. and Shao M. and Geng Z.,Prediction of mortality risk in patients with severe community-acquired pneumonia in the intensive care unit using machine learning,Scientific reports,2025.0,2019 - 2023 (development cohort 2019-2022; validation cohort 2021-2023),China,Multi-centre,Cohort,Retrospective,This study aims to train and compare five different machine learning models to predict the risk of mortality in patients with SCAP admitted to the ICU,,patients admitted to critical care / respiratory ICU due to sCAP,≥18 years:,"n = 575 (development cohort n=455, validation cohort n=120)",development vs validation,ICU mortality ,Identification of key predictors of mortality using SHAP analysis,"Dibetes, HTN, tumours",total n=125/575 (development cohort: 97/455 (21.3%); external validation cohort: 28/120 (23.3%)),,,,,,,,,time days(d) mean ± SD: Development cohort d=7.49 ± 10.40; validation cohort d=6.02 ± 5.06; development non-survival cohort d=8.33 ± 11.47; development survival group d=7.26 ± 10.10,,,,,Development cohort: 277/455 (60.9%); Validation cohort: 34/120 (28.3%); development non-survival cohort n=88 (90.72%); development survivor cohort n=189 (52.79%),,,,,,,,390/575 (67.83%),,,107/575 (18.61%),Key Research and Development Program of Anhui Province (No. 2022e07020039); Postgraduate Innovation Research and Practice Program of Anhui Medical University (No. YJS20230127),,,,,,,,,,,,,,,,,,,,,,,,,,,
1-40 m.xlsx,Observational,5,5.0,https://www.ajtmh.org/view/journals/tpmd/113/3/article-p576.xml,Pai Y.-T. and Huang Y.-K. and Su C.-P. and Huang C.-T.,Benefit of Empiric Antiviral Treatment for Patients with Influenza-Associated Pneumonia Admitted to the Intensive Care Unit: A Retrospective Cohort Study,American Journal of Tropical Medicine and Hygiene,2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unable to access (restricted),,,,,,,,,,,,,,,,,,,,,,,,,,
1-40 m.xlsx,Observational,6,6.0,https://www.mdpi.com/2079-6382/14/7/642,Zilberberg M.D. and Greenberg M. and Curt V. and Shorr A.F.,"The Burden of Hospitalization and Rehospitalization Among Patients Hospitalized with Severe Community-Acquired Bacterial Pneumonia in the United States, 2018-2022",Antibiotics,2025.0,2017-2022,US,Multi-centre,Cohort,Retrospective,"observation of sCABP (community acquired bacterial pneumonia), examined baseline characteristics and outcomes, including mortality, costs, and readmission rates. We developed models to identify risk factors associated with readmissions",IQVIA Hospital Charge Data Master (USA),"patients with CABP identified via ICD-10 code, with sCABP defined as an episode requiring ICU care",≥18 years: mean years 65.4; SD 14.6; median years 67,24422,Single cohort ,Hospital mortality,"ICU LOS, hospital LOS, ICU and hosptial costs, 30-day and 90-day readmissions among survivors, incidence of Clostridioides difficile infection (CDI), risk factors for 30- and 90-day readmissions (multivariable logistic regression)","C diff infection, 30-day readmission, 90-day readmission, COPD, CHF, DM in table 4 (full table of co-morbidities outlined in supplementary materials to which Charlson Comorbidity index applied to)",,,,,,n=3881 (15.89%),Mean SD (days) n=8.7 (SD 9.6). Median n=6.0 (no IQR),Mean SD (days) n=13.6 (SD 12.1). Median n=10.0 (no IQR),,,,,,,,,,Bacterial ,All patients ,,Clostridioides difficile n=271 (1.19%),,13486/24422 (55.22%),3151/24422 (12.90%),4474/24422 (18.32%),3831/24422 (15.69%),"Grant from Eagle Pharmaceuticals, Inc., Several authors employed by or consulting for Eagle Pharmaceuticals",,,,,,,,,,,,,,,,,,,,,,,,,,,
1-40 m.xlsx,Observational,7,7.0,https://www.sciencedirect.com/science/article/pii/S0953620525002638,"Garin, Nicolas and Koulenti, Despoina and Prendki, Virginie and Rello, Jordi",Sex-related differences in the management and outcome of intubated adults with community-acquired pneumonia in Europe: A multicentre study.,European journal of internal medicine,2025.0,2007-2008,9 European countries,Multi-centre,Cohort,Prospective,explore differences between sexes in the prognosis of severe community-acquired pneumonia,EU-VAP/CAP cohort,"consecutive patients admitted to the participating ICUs during a period of 6 to 12 months in 2007–2008 were included if they had a diagnosis of pneumonia and received invasive mechanical ventilation for at least 48 h. Patients were followed until discharge from the ICU or death, which ever came first. From the initial cohort (EU-VAP/CAP), we selected patients with CAP, without further exclusion criteria, who form the study population. ",Mean age was 60.5 years (SD 16.4),257,single cohort ,ICU mortality,Days of mechanical ventilation (survivors); ICU LOS (survivors); pathogen identification; differences in management; association between sex and mortality after multivariable adjustment,gender specific mortality data. immunosuppression; COPD; diabetes; CHF; chronic renal failure; chronic respiraotry failure; cirrhosis; heavy alcohol use; IV drug use; non-metastatic cancer; metastatic cancer; haematologic cancer ,n=101 / 257 (39.3%) (Men: 62 / 176 (35%); Women: 39 / 81 (48%)),,,,,,Days in the ICU (Survivors): median 13 days (IQR 8–23 in men; 8–22 in women),,,257 / 257 (100%) (all patients invasively mechanically ventilated ≥48 h),,,,,125 / 257 (50.6%),257 / 257 (100%) (implied by invasive mechanical ventilation),,"Unclear, seems majority bacterial ",N=121 ,,S.pneumoniae n=37; high risk bacteria for multidrug resistance n=33; H.influenzae or M.catarrhalis n=17; L.pneumophila n=3,,176/257 (68.5%),74/257 (28.8%),,38/257 (14.8%),"No specific funding for this analysis of the EU-VAP/CAP cohort, but original cohort supported by Generalitat de Catalunya (SGR 05/920), CIBERES, and Carlos III Health Institute (PI05/2410; AI/07/90031)",,,,,,,,,,,,,,,,,,,,,,,,,,,
1-40 m.xlsx,Observational,8,8.0,https://www.bjbms.org/ojs/index.php/bjbms/article/view/12127/3793,"Unal Cetin, Ece and Kurtkulagi, Ozge and Kamis, Fatih and Das, Murat and Simsek, Esen and Cetin, Adil Ugur and Beyazit, Yavuz","Advancing ICU mortality prediction in community-acquired pneumonia: Combining fibrinogen-to-albumin ratio, CT severity score, PSI, and CURB-65.",Biomolecules & biomedicine,2025.0,2021-2023,Turkey,Single-centre,Cohort,Retrospective,"determine whether adding FAR (fibrinogen to albumin ratio) to PSI, CURB-65, and CT-SS enhances their predictive performance for mortality in ICU patients with CAP",,CAP ICU patients ,≥18 years: years mean +/- SD 75.03± 13.41,158,single cohort ,30d mortality ,,N/a,,,n=112/158 (70.9%),,,,,,,,,,,,,,,Unclear ,,,,,85/158 (53.8%),,,,None ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-40 m.xlsx,Observational,10,14.0,https://mail.journal-imab-bg.org/issues-2024/Supplement/2024v30Supplement1Medicine.pdf,Spasovska K. and Grozdanovski K. and Rangelov G. and Cvetanovska M. and Cana F. and Kuzmanovski N. and Kapsarov K.,COMPARISON OF THREE SEVERITY SCORING MODELS FOR MORTALITY PREDICTION OF COMMUNITY-ACQUIRED PNEUMONIA,Journal of IMAB - Annual Proceeding (Scientific Papers),2024.0,2017-2019,North Macedonia,Single-centre,Cohort,,"aim of this study was to compare three commonly used severity scoring models in patients with community-acquired pneumonia, in order to define the best tool that will early identify those with increased risk for lethal outcome.",,"aged ≥18 years with CAP consecutively admitted at the ICU of University Clinic for Infectious Diseases in Skopje, North Macedonia",≥18 years,129,Single cohort (survivors vs non-survivors),30day mortality,"performance of severity scores (FAR, PSI, CURB-65, CT-SS)",,,,n=56/129 (43.4%),,,,,,,,,,,,,,,,,,,,86/129 (66.7%),,,,Not reported ,NB: no mention of prospective vs retrospective,,,,,,,,,,,,,,,,,,,,,,,,,,
1-40 m.xlsx,Observational,11,17.0,https://link.springer.com/article/10.1186/s13613-024-01269-3,Grosjean V. and Gressens S.B. and Pham T. and Gaudry S. and Ait-Oufella H. and De Prost N. and Mayaux J. and Guerot E. and Leflon-Guibout V. and Mayer N. and Bert F. and Gault N. and Massonnaud C.R. and Roux D.,Community-acquired Klebsiella pneumoniae pneumonia in ICU: a multicenter retrospective study,Annals of Intensive Care,2024.0,2015-2019,France,Multi-centre,Case-Control,Retrospective,Comparison of mortality from KP-CAP compared with SP-CAP of adult ICU admissions ,Programme de Medicalisation des Systèmes d’information (PMSI) database,All patients with an age over 18 admitted to ICUs with a final diagnosis of KP-CAP or SP-CAP were screened. We included all patients with monobacterial KP-CAP or SP-CAP.,"≥18 years: years median [IQR] KP-CAP 68 [56, 80]; SP-CAP 73 [61, 81]",108,KP-CAP (klebsiella pneumoniae) vs SP-CAP (streptococcus pneumoniae) ,In-hospital mortality,"Severity on ICU admission (SAPS II, SOFA); Organ failure (multiple organ failure, septic shock, ARDS, AKI); Mechanical ventilation use; Predisposing factors (alcoholism, comorbidities); Microbiological characteristics and virulence factors","Klebsiella pneumoniae CAP & streptococcus pneumoniae CAP mortality data. diabetes, smoking, alcoholism, COPD, chronic respiratory failures, chronic cardiac failure, cirrhosis, cancer, immunosuppression",,,,,,n=30/108,,,,n=57/108,,,,Noradrenaline use n= 49/107,,,n=44/57,"Bacterial, viral co-infections",108/108,viral coinfections n= 19/108,k. pneumoniae n=27/108 & s.pneumoniae n=81/108,viral coinfections n= 19/108,75/108 (69.4%),32/106 (30.2%),39/97 (40.2%),27/106 (25.5%),None reported ,,,,,,,,,,,,,,,,,,,,,,,,,,,
