study number,raw_age,age_median,age_iqr_lower,age_iqr_upper,age_mean,age_sd,age_method,age_manual_clean,raw_icu_los,icu_los_median,icu_los_iqr_lower,icu_los_iqr_upper,icu_los_mean,icu_los_sd,icu_los_method,icu_los_manual_clean,raw_hosp_los,hosp_los_median,hosp_los_iqr_lower,hosp_los_iqr_upper,hosp_los_mean,hosp_los_sd,hosp_los_method,hosp_los_manual_clean
1.0,42.3 ± 14.7 (Median ± SD),,,,42.3,14.7,mean_sd,False,17.9 ± 13.5 ( mean ± SD),,,,17.9,13.5,mean_sd,False,,,,,,,empty,False
2.0,≥18 years: years mean +/- SD 75.1 ± 14.0,,,,75.1,14.0,mean_sd,False,,,,,,,empty,False,,,,,,,empty,False
3.0,survivor group (n=49): 70.0 ± 2.0; non-survivor group (n=14): 69.1 ± 4.1,,,,70.0,2.0,mean_sd,False,,,,,,,empty,False,,,,,,,empty,False
4.0,≥18 years:,,,,,,unparseable,True,,,,,,,empty,False,,,,,,,empty,False
5.0,Mean IQR: empiricial antiviral 56.1 (14.5). No antiviral 57.6 (16.3),,,,,,unparseable,True,Days (IQR) antiviral 24.5 (31) no antiviral 26.2 (27.5),,,,,,unparseable,True,Days (IQR) antiviral 42 (45) no antiviral 42.2 (28.8),,,,,,unparseable,True
6.0,≥18 years: mean years 65.4; SD 14.6; median years 67,,,,65.4,14.6,mean_sd,False,Mean SD (days) n=8.7 (SD 9.6). Median n=6.0 (no IQR),,,,8.7,9.6,mean_sd,False,Mean SD (days) n=13.6 (SD 12.1). Median n=10.0 (no IQR),,,,13.6,12.1,mean_sd,False
7.0,Mean age was 60.5 years (SD 16.4),,,,60.5,16.4,mean_sd,False,Days in the ICU (Survivors): median 13 days (IQR 8–23 in men; 8–22 in women),13.0,,,,,median_only,False,,,,,,,empty,False
8.0,≥18 years: years mean +/- SD 75.03± 13.41,,,,75.03,13.41,mean_sd,False,,,,,,,empty,False,,,,,,,empty,False
14.0,≥18 years,,,,,,unparseable,True,,,,,,,empty,False,,,,,,,empty,False
17.0,"≥18 years: years median [IQR] KP-CAP 68 [56, 80]; SP-CAP 73 [61, 81]",68.0,56.0,80.0,,,iqr_parenthetical,False,,,,,,,empty,False,,,,,,,empty,False
