study number,participants_total,participants_manual_clean,raw_icu mortality,icu mortality_numerator,icu mortality_denominator,icu mortality_proportion,icu mortality_method,icu mortality_manual_clean,raw_28d mortality,28d mortality_numerator,28d mortality_denominator,28d mortality_proportion,28d mortality_method,28d mortality_manual_clean,raw_30d mortality,30d mortality_numerator,30d mortality_denominator,30d mortality_proportion,30d mortality_method,30d mortality_manual_clean,raw_60d mortality,60d mortality_numerator,60d mortality_denominator,60d mortality_proportion,60d mortality_method,60d mortality_manual_clean,raw_90d mortality,90d mortality_numerator,90d mortality_denominator,90d mortality_proportion,90d mortality_method,90d mortality_manual_clean,raw_hospital mortality,hospital mortality_numerator,hospital mortality_denominator,hospital mortality_proportion,hospital mortality_method,hospital mortality_manual_clean,raw_mechnical ventilation (proportion requiring),mechnical ventilation (proportion requiring)_numerator,mechnical ventilation (proportion requiring)_denominator,mechnical ventilation (proportion requiring)_proportion,mechnical ventilation (proportion requiring)_method,mechnical ventilation (proportion requiring)_manual_clean,raw_niv (proportion requiring),niv (proportion requiring)_numerator,niv (proportion requiring)_denominator,niv (proportion requiring)_proportion,niv (proportion requiring)_method,niv (proportion requiring)_manual_clean,raw_ecmo (proportion requiring),ecmo (proportion requiring)_numerator,ecmo (proportion requiring)_denominator,ecmo (proportion requiring)_proportion,ecmo (proportion requiring)_method,ecmo (proportion requiring)_manual_clean,raw_rrt (proportion requiring),rrt (proportion requiring)_numerator,rrt (proportion requiring)_denominator,rrt (proportion requiring)_proportion,rrt (proportion requiring)_method,rrt (proportion requiring)_manual_clean,raw_vasopressor / inotropic support (proportion requiring),vasopressor / inotropic support (proportion requiring)_numerator,vasopressor / inotropic support (proportion requiring)_denominator,vasopressor / inotropic support (proportion requiring)_proportion,vasopressor / inotropic support (proportion requiring)_method,vasopressor / inotropic support (proportion requiring)_manual_clean,raw_septic shock (proportion with),septic shock (proportion with)_numerator,septic shock (proportion with)_denominator,septic shock (proportion with)_proportion,septic shock (proportion with)_method,septic shock (proportion with)_manual_clean,raw_respiratory failure (proportion with),respiratory failure (proportion with)_numerator,respiratory failure (proportion with)_denominator,respiratory failure (proportion with)_proportion,respiratory failure (proportion with)_method,respiratory failure (proportion with)_manual_clean,raw_ards (proportion with),ards (proportion with)_numerator,ards (proportion with)_denominator,ards (proportion with)_proportion,ards (proportion with)_method,ards (proportion with)_manual_clean,raw_copd,copd_numerator,copd_denominator,copd_proportion,copd_method,copd_manual_clean,raw_smokers,smokers_numerator,smokers_denominator,smokers_proportion,smokers_method,smokers_manual_clean,raw_diabetes,diabetes_numerator,diabetes_denominator,diabetes_proportion,diabetes_method,diabetes_manual_clean
1.0,86.0,False,,,,,empty,False,,,,,empty,False,n=31/86,31.0,86.0,0.36046511627906974,fraction,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,"49, (57) n, (%)",,,,unparseable,True,,,,,empty,False,,,,,empty,False,"21, (24.4) n, (%)",,,,unparseable,True,"vasoactive drugs 39, (45.3); inotropic drugs 16, (18.6) both n, (%)",,,,unparseable,True,sepsis 15 (17.4); shock 20 (23.2) both n (%),,,,unparseable,True,77 (89.5) n (%),,,,unparseable,True,,,,,empty,False,,,,,empty,False,,,,,empty,False,5 (5.8) n (%),,,,unparseable,True
2.0,40.0,False,n=10,10.0,40.0,0.25,n_equals_only_backcalc,True,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,n=5,5.0,40.0,0.125,n_equals_only_backcalc,True,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,n=13 (32.5%),13.0,40.0,0.325,count_with_pct,False,,,,,empty,False,,,,,empty,False,15/40 (37.5%),15.0,40.0,0.375,fraction,False,,,,,empty,False,14/40 (35.0%),14.0,40.0,0.35,fraction,False
3.0,63.0,False,,,,,empty,False,n=14,14.0,63.0,0.2222222222222222,n_equals_only_backcalc,True,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,n=26 (41.3%),26.0,63.0,0.4126984126984127,count_with_pct,False,,,,,empty,False,,,,,empty,False,"reports ""chronic lung disease""",,,,descriptive_text,True,,,,,empty,False,20/63 (31.7%),20.0,63.0,0.31746031746031744,fraction,False
4.0,575.0,False,total n=125/575 (development cohort: 97/455 (21.3%); external validation cohort: 28/120 (23.3%)),125.0,575.0,0.21739130434782608,fraction_compound,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,time days(d) mean ± SD: Development cohort d=7.49 ± 10.40; validation cohort d=6.02 ± 5.06; development non-survival cohort d=8.33 ± 11.47; development survival group d=7.26 ± 10.10,,,,unparseable,True,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,Development cohort: 277/455 (60.9%); Validation cohort: 34/120 (28.3%); development non-survival cohort n=88 (90.72%); development survivor cohort n=189 (52.79%),277.0,455.0,0.6087912087912087,fraction_compound,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,107/575 (18.61%),107.0,575.0,0.18608695652173912,fraction,False
5.0,77.0,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,28/77 (36.36%),28.0,77.0,0.36363636363636365,fraction,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,4/77 (5.19%),4.0,77.0,0.05194805194805195,fraction,False,,,,,empty,False,21/77 (27.27%),21.0,77.0,0.2727272727272727,fraction,False
6.0,24422.0,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,n=3881 (15.89%),3881.0,24424.0,0.15890108090402882,count_with_pct,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,3151/24422 (12.90%),3151.0,24422.0,0.1290230120383261,fraction,False,4474/24422 (18.32%),4474.0,24422.0,0.1831954794857096,fraction,False,3831/24422 (15.69%),3831.0,24422.0,0.15686675947915812,fraction,False
7.0,257.0,False,n=101 / 257 (39.3%) (Men: 62 / 176 (35%); Women: 39 / 81 (48%)),101.0,257.0,0.39299610894941633,fraction_compound,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,257 / 257 (100%) (all patients invasively mechanically ventilated ≥48 h),257.0,257.0,1.0,fraction,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,125 / 257 (50.6%),125.0,257.0,0.48638132295719844,fraction,False,257 / 257 (100%) (implied by invasive mechanical ventilation),257.0,257.0,1.0,fraction,False,,,,,empty,False,74/257 (28.8%),74.0,257.0,0.28793774319066145,fraction,False,,,,,empty,False,38/257 (14.8%),38.0,257.0,0.14785992217898833,fraction,False
8.0,158.0,False,,,,,empty,False,,,,,empty,False,n=112/158 (70.9%),112.0,158.0,0.7088607594936709,fraction,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False
14.0,129.0,False,,,,,empty,False,,,,,empty,False,n=56/129 (43.4%),56.0,129.0,0.43410852713178294,fraction,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False
17.0,108.0,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,n=30/108,30.0,108.0,0.2777777777777778,fraction,False,n=57/108,57.0,108.0,0.5277777777777778,fraction,False,,,,,empty,False,,,,,empty,False,,,,,empty,False,Noradrenaline use n= 49/107,49.0,107.0,0.45794392523364486,fraction,False,,,,,empty,False,,,,,empty,False,n=44/57,44.0,57.0,0.7719298245614035,fraction,False,32/106 (30.2%),32.0,106.0,0.3018867924528302,fraction,False,39/97 (40.2%),39.0,97.0,0.4020618556701031,fraction,False,27/106 (25.5%),27.0,106.0,0.25471698113207547,fraction,False
